 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Benin;90.0;92.4;91.2;96.3;100.5;106.0;108.6;;107.7;112.5;111.7;110.3;108.5;130.0;156.3;168.0;200.3;201.8;211.5;255.4;317.8;366.5;327.6;312.7;262.6;244.8;236.6;293.6;333.2;335.3;301.7;381.8;375.3;310.6;398.6;269.8;358.8;380.6;355.1;372.9;541.7;503.0;508.3;564.4;698.4;784.1;805.9;837.1;944.6;1,098.9;1,061.7;1,009.5;1,099.4;1,112.6;1,214.3;1,251.5;1,041.7;1,049.8;1,095.3;1,194.4;1,170.9;1,240.7;1,360.9;1,302.9;..
Bermuda;1,902.4;1,961.5;2,020.4;2,020.3;2,199.7;2,282.2;2,630.9;;2,982.7;2,830.2;3,053.7;3,387.3;3,866.3;4,343.2;5,009.3;5,853.9;6,509.4;7,261.3;8,370.8;8,876.9;9,613.4;11,218.2;13,426.0;14,166.2;15,902.0;17,469.8;18,269.5;20,450.7;22,411.8;24,253.2;25,517.9;26,841.5;27,700.3;28,669.7;30,900.7;31,476.1;33,989.7;44,826.8;48,478.9;51,371.7;54,245.5;56,284.2;58,884.0;62,583.1;66,111.7;70,359.3;75,882.0;95,221.9;104,287.4;106,935.5;101,407.8;101,875.3;97,774.2;98,431.9;99,471.6;98,467.7;102,005.6;106,885.9;111,820.6;113,050.7;116,153.2;107,791.9;111,774.7;118,774.8;..
Bhutan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;309.9;324.7;319.9;343.6;341.2;337.0;383.1;472.2;514.7;486.6;515.3;423.3;440.0;433.9;496.8;550.7;564.5;644.1;652.4;699.3;722.8;765.0;841.4;951.7;1,050.1;1,201.4;1,299.6;1,714.0;1,780.1;1,768.7;2,194.1;2,491.3;2,470.1;2,409.4;2,589.9;2,695.6;2,879.5;3,427.2;3,389.8;3,564.6;3,181.3;3,560.2;..;..
Bolivia;100.7;107.3;114.9;121.1;133.7;145.4;157.6;;174.2;193.5;205.2;219.6;231.4;268.3;257.8;419.1;469.2;521.2;602.0;685.4;804.0;775.9;985.6;934.8;884.6;986.8;842.1;607.1;652.7;675.7;678.6;685.9;737.5;763.3;760.1;777.4;856.4;925.8;974.0;1,025.4;981.8;977.3;930.9;888.2;892.4;952.0;1,018.3;1,200.1;1,351.0;1,687.6;1,725.1;1,922.1;2,305.0;2,562.5;2,853.8;3,022.5;2,975.6;3,013.5;3,280.0;3,471.0;3,472.4;3,068.8;3,345.0;3,600.1;..
Bosnia and Herzegovina;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;333.8;497.7;713.0;907.1;1,000.4;1,128.4;1,332.2;1,382.8;1,602.6;2,031.4;2,451.6;2,741.1;3,170.2;3,936.9;4,846.8;4,542.3;4,506.9;4,980.9;4,688.3;5,025.2;5,197.0;4,654.6;4,917.3;5,327.4;6,024.5;6,094.7;6,095.1;7,230.2;7,568.8;..
Botswana;59.3;62.7;66.4;69.4;74.0;80.2;89.5;;101.3;113.7;131.9;162.5;211.0;262.5;371.4;442.5;487.9;485.4;559.7;695.1;917.6;1,130.3;1,092.7;992.1;1,105.1;1,128.9;979.0;1,180.9;1,610.4;2,096.7;2,369.1;2,825.7;2,855.9;2,918.6;2,845.0;2,832.8;3,064.6;3,064.0;3,100.2;2,893.3;3,242.1;3,351.7;3,115.7;3,029.8;4,111.7;4,818.2;5,240.3;5,142.9;5,372.3;5,345.8;4,938.2;6,041.7;7,080.8;6,393.0;6,436.6;6,844.0;5,869.7;6,411.6;6,705.3;6,947.8;6,691.2;5,875.1;7,238.8;7,738.9;..
Brazil;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,875.6;3,065.2;2,656.5;2,505.4;2,766.3;3,393.1;4,705.0;5,121.9;5,240.1;5,049.8;3,456.4;3,726.8;3,142.2;2,824.7;3,056.6;3,623.2;4,773.3;5,866.0;7,323.2;8,801.8;8,569.9;11,249.3;13,200.6;12,327.5;12,258.6;12,071.4;8,783.2;8,680.7;9,896.7;9,121.0;8,845.3;6,923.7;7,696.8;8,917.7;..
British Virgin Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Brunei Darussalam;..;..;..;..;..;1,059.0;1,179.1;;1,181.9;1,310.0;1,259.3;1,343.0;1,424.5;1,882.2;2,905.4;6,957.2;7,317.8;8,621.1;10,159.0;11,020.7;15,409.8;26,228.1;22,494.9;21,254.1;18,526.3;17,619.3;15,863.3;10,262.9;11,587.5;10,949.8;11,762.4;13,440.7;13,717.4;15,080.7;14,420.6;14,000.4;15,828.0;16,706.5;16,593.4;12,653.8;14,065.7;17,971.9;16,437.4;16,817.2;18,521.4;21,839.3;25,991.2;30,767.8;32,337.3;37,427.5;27,497.5;34,609.7;46,139.1;46,844.2;43,950.0;41,035.8;30,681.4;26,762.0;28,187.0;31,240.5;30,748.3;27,179.4;31,448.9;37,152.5;..
Bulgaria;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;2,238.8;2,234.8;2,169.0;1,852.8;1,963.6;1,914.6;2,260.4;3,132.3;2,511.4;2,477.0;2,366.5;1,267.7;1,212.0;1,278.5;1,148.5;2,259.3;1,470.2;1,361.4;1,820.4;1,659.7;1,621.3;1,770.9;2,093.0;2,719.5;3,389.7;3,899.8;4,523.1;5,888.8;7,271.3;6,988.3;6,863.7;7,857.2;7,430.7;7,687.7;7,912.3;7,078.9;7,570.9;8,381.9;9,447.7;9,874.3;10,148.3;12,219.3;13,974.4;..
Burkina Faso;69.1;72.2;77.1;78.8;80.8;82.0;82.8;;84.6;84.9;86.7;81.7;84.5;99.7;114.2;124.8;153.1;155.8;176.3;224.3;259.0;278.2;249.3;239.6;212.5;188.3;194.6;248.1;281.0;302.0;294.0;339.6;334.8;349.7;325.2;187.8;229.8;243.5;224.6;250.4;293.9;249.8;260.4;286.8;363.8;405.5;442.9;457.3;516.8;621.9;603.9;627.3;727.6;734.0;762.3;767.4;632.1;665.8;711.2;779.2;765.2;823.6;888.8;830.0;..
